,File Name,Tempo,RMS max,RMS min,RMS mean,RMS median,Spectrogram max,Spectrogram mean,mfccs max,mfccs min,mfccs mean,chromagram min,chromagram mean,NumberStrongNote0.5&0.7,NumberWeakNote0.2&0.3,Boss Power,Mean TimePattern,Label
0,blues.00000.wav,123.046875,0.32401443,0.019080387,0.13018432,0.12601675,2646.106,4.4255424,164.75476,-257.911,1.9366392,0.0018828771,0.3501285,2160,3519,2063092,0.1523540717842424,blues
1,blues.00001.wav,67.99958881578948,0.27168676,0.0043613184,0.09590782,0.09380981,1570.5173,2.6534398,192.77078,-448.55563,-0.05725469,0.0018079304,0.3408494,1352,3027,1930872,0.11784999872296047,blues
2,blues.00002.wav,161.4990234375,0.3265906,0.039753497,0.17547321,0.17410797,1602.6764,7.2538414,198.8385,-343.9348,1.0326179,0.0031683422,0.36353773,1535,3563,2336009,0.1349467881535099,blues
3,blues.00003.wav,63.02400914634146,0.38371503,0.009309824,0.14104027,0.12841246,3565.4084,6.2075453,235.07391,-363.9536,0.06892568,0.0057375752,0.40485436,642,2246,2692430,0.11228498654787916,blues
4,blues.00004.wav,135.99917763157896,0.28839296,0.007671018,0.09150122,0.08293572,1617.0978,2.1063309,188.28467,-356.30292,-8.460349,0.0013471683,0.30852598,1962,2629,364276,0.13406382296473826,blues
5,blues.00005.wav,69.83741554054055,0.45972845,0.0043800697,0.103452876,0.09518849,3309.6233,2.9151483,194.46027,-451.74277,-7.1014657,0.0017071201,0.30252185,1084,2298,614788,0.11030007305533944,blues
6,blues.00006.wav,71.77734375,0.54481196,0.0028511093,0.14175196,0.12484488,4920.7354,5.8821964,201.39595,-443.44998,-7.859532,0.00019854082,0.29142597,1052,1791,765192,0.1060908946560859,blues
7,blues.00007.wav,92.28515625,0.40518692,0.008340701,0.13176751,0.11889487,2514.3445,4.828115,211.60522,-413.14587,-5.965395,0.0020173898,0.30737153,1097,2118,930852,0.12690741778421102,blues
8,blues.00008.wav,83.35433467741936,0.25835073,0.047362413,0.14232728,0.13900733,1096.3376,4.9438577,171.03479,-259.08032,1.998934,0.0032644798,0.40891296,1443,3894,2423228,0.1537269041843417,blues
9,blues.00009.wav,80.74951171875,0.32053873,0.0075687217,0.08128055,0.06427614,1801.9823,2.3872306,175.15985,-371.29147,-5.11716,0.0012147061,0.27396762,1074,2358,541210,0.17560329715901135,blues
10,blues.00010.wav,161.4990234375,0.518649,0.0028473125,0.14278811,0.13314769,4393.959,6.661311,216.88054,-434.78052,-3.6829484,0.00033719203,0.30396983,1134,2387,859928,0.09568679359929634,blues
11,blues.00011.wav,161.4990234375,0.26861718,0.003204682,0.06570574,0.055449363,1544.8342,1.6110626,200.54417,-443.90714,-6.607402,0.0014452795,0.36588737,635,1776,1324643,0.123157694310695,blues
12,blues.00012.wav,184.5703125,0.3234385,0.018674543,0.118989594,0.104386255,1555.8047,3.9477363,200.27313,-404.68405,-2.9918156,0.000504595,0.26933804,1447,2910,725760,0.12843730424784242,blues
13,blues.00013.wav,107.666015625,0.39793068,0.026391696,0.113129914,0.09533126,3309.9463,3.943913,175.92834,-320.58655,-1.4734328,8.821915e-05,0.26491037,1809,2727,925480,0.1564209389440275,blues
14,blues.00014.wav,151.99908088235293,0.3111607,0.010834454,0.066998236,0.045738596,2887.3496,1.4870899,182.83139,-439.14618,-3.6061342,0.00010258724,0.32889304,2292,2446,471866,0.16197983668422783,blues
15,blues.00015.wav,103.359375,0.36125842,0.008459944,0.0806058,0.069019035,3364.3499,1.953257,178.63504,-373.55765,-3.679604,0.00017272556,0.26973152,1761,3151,545907,0.16742478767713723,blues
16,blues.00016.wav,198.76802884615384,0.2727681,0.014198597,0.081422575,0.068640165,1868.5511,1.9273266,184.08731,-350.7842,-2.4240801,0.0010295003,0.30818358,2486,2822,614867,0.1740329657877497,blues
17,blues.00017.wav,172.265625,0.27092633,0.019267619,0.09327623,0.08301056,1983.8052,2.4110172,194.8542,-398.8249,-1.5313423,0.0019222245,0.30222705,1910,3322,964351,0.15109270130788546,blues
18,blues.00018.wav,83.35433467741936,0.4043266,0.014899182,0.07967066,0.06992974,3391.207,2.0942543,164.98615,-342.5981,-2.1529238,4.8981263e-05,0.2700689,1984,2492,682448,0.165336257660911,blues
19,blues.00019.wav,123.046875,0.3188255,0.017791739,0.09761591,0.0870385,1945.3015,2.564312,184.99762,-412.23358,-3.2163334,0.00050012814,0.2574455,1551,3308,636952,0.15527673180369123,blues
20,blues.00020.wav,135.99917763157896,0.34144375,0.015321372,0.07542555,0.060780484,1448.2274,1.7910357,177.18585,-335.02173,-2.7564676,0.00044807725,0.30268323,2302,2954,630409,0.16789040820309328,blues
21,blues.00021.wav,99.38401442307692,0.3259335,0.022233538,0.1010843,0.08967303,1415.7758,2.8455658,214.91707,-419.88382,-0.9150164,0.00038435758,0.32131013,1282,2590,1083726,0.1524097356537245,blues
22,blues.00022.wav,95.703125,0.4206443,0.01710568,0.113379315,0.10247789,2881.3274,3.4458032,199.19637,-413.21802,-0.3052653,0.00075323833,0.3066106,1552,3145,1263822,0.14133103798071095,blues
23,blues.00023.wav,184.5703125,0.2959028,0.016889783,0.1019351,0.08727613,1682.739,2.954381,181.87103,-368.0817,-2.4107127,0.0012729841,0.28080696,1113,2714,694420,0.16295305622068335,blues
24,blues.00024.wav,103.359375,0.30437914,0.0138515,0.08692267,0.08191931,1607.2146,2.1942303,203.61122,-441.06424,-3.280044,0.00040246302,0.26306966,1027,1816,677875,0.1520555280167966,blues
25,blues.00025.wav,92.28515625,0.4239281,0.02366804,0.0891659,0.07204792,4176.7495,2.4099586,184.35587,-389.4153,-1.0807797,9.323678e-05,0.29094827,1079,3264,805256,0.14909621419205824,blues
26,blues.00026.wav,83.35433467741936,0.56240535,0.01094937,0.07705383,0.054943547,7046.996,2.666983,177.51848,-422.61118,-2.9792914,1.9106214e-05,0.27857408,831,2150,711015,0.12342185129046279,blues
27,blues.00027.wav,92.28515625,0.27600828,0.018333893,0.09575479,0.08917796,1492.9017,2.3659081,191.58061,-356.30496,-3.6129284,0.00073246204,0.28868246,851,1910,825953,0.17928695559761418,blues
28,blues.00028.wav,103.359375,0.38327485,0.013095881,0.099547915,0.08519431,2097.8535,2.9700665,202.48447,-397.3656,-4.0286903,0.0004898252,0.27611074,1086,2045,740100,0.1543296020800208,blues
29,blues.00029.wav,129.19921875,0.36569557,0.008034383,0.124684155,0.11205491,2414.2412,4.779098,165.69792,-441.98566,-8.620727,0.00021625121,0.28052026,1034,1852,1900398,0.16497537811475455,blues
30,blues.00030.wav,151.99908088235293,0.36087257,0.04688006,0.17000204,0.16352585,2889.6895,7.563254,175.73718,-344.33694,-8.800726,0.00030373415,0.26335758,842,1851,2786707,0.19080675106036693,blues
31,blues.00031.wav,151.99908088235293,0.364836,0.034356073,0.15147567,0.14609955,2294.1501,6.1685324,165.5214,-357.13962,-9.66063,0.00026365806,0.2537176,625,1444,1839986,0.17980825078469123,blues
